relative_humidity,dry_bulb_temp_f,precip,wind_speed,station_pressure
67.0,62.0,0.0,11.0,30.19
79.0,67.0,0.0,5.0,30.01
64.0,75.0,0.0,3.0,30.06
81.0,68.0,0.0,7.0,30.17
91.0,67.0,0.0,8.0,29.95
36.0,67.0,0.0,17.0,29.95
100.0,61.0,,9.0,29.95
51.0,42.0,0.0,23.0,29.57
50.0,46.0,0.0,10.0,29.65
36.0,56.0,0.0,11.0,29.72
59.0,32.0,0.0,11.0,29.97
83.0,47.0,0.04,14.0,30.04
59.0,53.0,0.0,7.0,29.92
93.0,56.0,0.0,5.0,30.16
41.0,84.0,0.0,15.0,30.11
28.0,40.0,,3.0,30.27
90.0,61.0,0.0,14.0,29.88
71.0,49.0,0.0,25.0,29.86
73.0,70.0,0.13,23.0,29.9
47.0,90.0,0.0,15.0,29.96
53.0,23.0,0.0,17.0,30.15
83.0,48.0,0.0,11.0,29.86
86.0,36.0,0.03,18.0,29.65
65.0,40.0,0.0,10.0,30.66
74.0,21.0,0.02,8.0,30.11
90.0,63.0,,11.0,30.03
59.0,67.0,0.0,11.0,30.02
89.0,36.0,0.0,14.0,29.93
89.0,34.0,0.03,9.0,29.86
41.0,73.0,0.0,8.0,29.96
93.0,48.0,0.01,18.0,29.91
88.0,75.0,,5.0,30.0
66.0,69.0,0.0,13.0,29.91
87.0,64.0,0.0,8.0,30.03
40.0,74.0,0.0,10.0,30.06
61.0,35.0,,25.0,30.1
92.0,33.0,0.0,0.0,29.92
36.0,23.0,0.0,11.0,30.48
65.0,66.0,0.0,13.0,30.1
90.0,49.0,0.0,0.0,30.03
88.0,32.0,0.0,8.0,30.26
,,,,
62.0,42.0,0.0,8.0,30.02
88.0,68.0,,8.0,29.7
29.0,35.0,,6.0,30.27
72.0,81.0,0.0,8.0,29.85
60.0,57.0,,5.0,30.09
61.0,47.0,,18.0,29.37
32.0,35.0,0.0,30.0,30.0
63.0,64.0,0.0,15.0,30.2
65.0,86.0,0.0,11.0,30.03
84.0,61.0,,5.0,30.23
52.0,38.0,0.0,14.0,30.02
81.0,34.0,0.0,22.0,29.54
100.0,64.0,,6.0,29.99
81.0,65.0,0.0,0.0,30.03
62.0,76.0,0.0,7.0,30.06
76.0,42.0,0.0,3.0,29.97
59.0,73.0,0.0,9.0,30.23
84.0,67.0,0.0,5.0,29.93
58.0,27.0,0.0,31.0,29.24
30.0,61.0,,14.0,29.67
40.0,43.0,0.0,23.0,29.66
67.0,78.0,0.0,10.0,29.81
41.0,64.0,0.0,7.0,30.09
62.0,90.0,0.0,13.0,29.96
83.0,72.0,0.0,24.0,29.75
81.0,56.0,0.0,3.0,30.13
41.0,48.0,0.0,16.0,30.05
88.0,68.0,,5.0,29.85
66.0,30.0,,9.0,29.83
42.0,77.0,0.0,9.0,30.04
59.0,86.0,0.0,14.0,29.92
61.0,68.0,0.0,11.0,30.13
67.0,78.0,0.0,8.0,29.8
97.0,43.0,0.0,0.0,29.57
55.0,56.0,0.0,29.0,29.56
57.0,69.0,0.0,0.0,30.43
73.0,72.0,0.0,7.0,29.95
94.0,66.0,,0.0,29.79
93.0,43.0,0.01,13.0,29.99
44.0,45.0,,14.0,30.35
71.0,24.0,0.0,7.0,29.91
57.0,69.0,0.0,17.0,29.72
54.0,35.0,,7.0,30.35
76.0,46.0,0.04,24.0,29.96
,,,,
50.0,10.0,,10.0,29.99
,,,,
83.0,52.0,0.0,7.0,30.16
53.0,39.0,0.0,18.0,29.76
59.0,37.0,,8.0,30.38
67.0,80.0,0.0,6.0,29.99
47.0,41.0,0.0,18.0,29.8
44.0,23.0,0.0,11.0,30.25
36.0,69.0,,22.0,29.67
44.0,46.0,0.0,14.0,30.43
75.0,56.0,0.0,8.0,29.86
87.0,70.0,0.0,7.0,29.74
68.0,63.0,0.0,0.0,29.94
65.0,39.0,0.0,15.0,30.12
86.0,51.0,0.03,7.0,29.94
49.0,59.0,0.0,9.0,30.14
94.0,72.0,0.0,11.0,29.76
38.0,69.0,0.0,8.0,30.03
72.0,27.0,0.0,6.0,29.86
52.0,36.0,0.0,14.0,29.81
74.0,48.0,0.0,11.0,29.48
89.0,42.0,0.0,22.0,29.58
42.0,34.0,0.0,21.0,29.87
51.0,42.0,,24.0,29.75
83.0,68.0,0.0,15.0,29.79
100.0,71.0,,8.0,29.9
72.0,52.0,0.0,3.0,29.85
74.0,53.0,0.0,6.0,30.21
68.0,71.0,0.0,7.0,29.98
72.0,81.0,,14.0,29.93
59.0,72.0,,9.0,29.85
77.0,49.0,0.0,11.0,29.98
96.0,68.0,,3.0,29.81
69.0,53.0,,7.0,30.23
52.0,21.0,0.0,23.0,30.27
89.0,77.0,,10.0,29.99
70.0,83.0,,16.0,30.1
77.0,56.0,0.0,14.0,29.77
42.0,48.0,0.0,17.0,30.31
59.0,51.0,0.0,24.0,30.08
49.0,84.0,0.0,6.0,30.0
37.0,25.0,0.0,23.0,29.62
31.0,43.0,,15.0,29.83
46.0,26.0,0.0,9.0,30.16
35.0,88.0,0.0,11.0,29.77
81.0,59.0,0.0,6.0,30.38
67.0,56.0,0.0,11.0,29.82
67.0,35.0,,13.0,29.58
69.0,81.0,0.0,13.0,29.88
33.0,78.0,,3.0,30.08
39.0,85.0,0.0,17.0,29.82
34.0,37.0,0.0,3.0,30.64
89.0,22.0,0.06,43.0,29.15
97.0,43.0,0.05,7.0,30.05
55.0,22.0,0.0,14.0,30.48
49.0,71.0,0.0,8.0,30.12
74.0,78.0,0.0,10.0,29.88
22.0,43.0,0.0,0.0,30.21
47.0,29.0,,24.0,30.1
47.0,42.0,0.0,7.0,30.27
100.0,30.0,0.03,28.0,
45.0,69.0,0.0,20.0,29.78
77.0,81.0,0.0,13.0,30.04
96.0,33.0,0.06,21.0,29.86
67.0,83.0,,11.0,29.64
40.0,53.0,0.0,18.0,29.52
52.0,32.0,0.0,17.0,29.62
57.0,91.0,0.0,9.0,30.01
59.0,35.0,,11.0,29.87
94.0,72.0,0.2,6.0,29.78
40.0,22.0,0.0,7.0,30.65
84.0,68.0,0.0,16.0,29.84
97.0,61.0,0.06,14.0,29.89
80.0,55.0,0.0,8.0,30.3
77.0,18.0,0.03,20.0,29.86
77.0,55.0,,3.0,29.94
94.0,55.0,0.04,13.0,30.0
83.0,55.0,,0.0,29.9
74.0,43.0,0.0,6.0,30.24
78.0,73.0,,10.0,29.81
49.0,33.0,0.0,29.0,29.73
26.0,90.0,0.0,10.0,30.16
44.0,24.0,0.0,18.0,30.24
70.0,66.0,0.0,8.0,30.28
69.0,28.0,0.0,16.0,29.77
70.0,64.0,0.0,6.0,29.86
48.0,34.0,,23.0,30.13
84.0,66.0,0.0,6.0,29.63
26.0,38.0,0.0,8.0,30.46
93.0,60.0,,5.0,29.97
74.0,83.0,,10.0,29.75
80.0,62.0,0.0,10.0,29.7
57.0,38.0,0.0,26.0,29.8
89.0,40.0,,3.0,29.96
70.0,60.0,0.0,8.0,30.03
72.0,60.0,0.0,11.0,30.2
50.0,35.0,,8.0,29.92
74.0,81.0,0.0,13.0,30.02
64.0,72.0,,10.0,30.25
57.0,36.0,0.0,26.0,29.94
83.0,72.0,,17.0,29.75
74.0,79.0,0.0,15.0,29.49
52.0,34.0,,15.0,30.33
54.0,29.0,0.0,13.0,30.19
100.0,70.0,0.0,0.0,29.82
97.0,58.0,0.03,9.0,29.78
62.0,37.0,0.0,18.0,29.6
93.0,69.0,0.0,0.0,30.06
81.0,73.0,0.0,6.0,29.9
58.0,82.0,0.0,10.0,29.89
49.0,42.0,0.0,10.0,30.19
56.0,59.0,0.0,10.0,30.1
80.0,49.0,0.02,21.0,29.97
83.0,50.0,0.0,3.0,29.99
58.0,77.0,0.0,9.0,30.17
59.0,73.0,0.0,9.0,30.38
57.0,81.0,0.0,10.0,29.76
55.0,39.0,0.0,5.0,30.1
97.0,49.0,0.0,16.0,29.89
74.0,53.0,0.0,8.0,30.07
69.0,49.0,0.0,7.0,29.96
89.0,33.0,0.01,14.0,29.79
88.0,59.0,0.01,15.0,29.89
35.0,55.0,0.0,24.0,29.77
71.0,49.0,0.0,9.0,29.96
55.0,53.0,0.0,7.0,30.43
100.0,61.0,0.02,14.0,30.0
44.0,55.0,0.0,20.0,30.12
90.0,54.0,0.08,26.0,29.72
83.0,51.0,0.01,6.0,30.16
71.0,75.0,,10.0,30.01
73.0,42.0,0.0,3.0,30.21
43.0,66.0,0.0,14.0,30.04
66.0,30.0,,22.0,29.91
76.0,72.0,0.0,10.0,29.83
69.0,75.0,0.0,7.0,29.89
65.0,56.0,,5.0,30.15
70.0,63.0,0.0,15.0,30.26
80.0,48.0,,3.0,30.14
90.0,55.0,0.01,5.0,29.73
60.0,41.0,,0.0,30.24
45.0,39.0,0.0,17.0,29.94
37.0,92.0,,18.0,29.8
89.0,75.0,,14.0,29.94
94.0,48.0,0.0,7.0,29.79
71.0,44.0,0.0,6.0,30.37
35.0,82.0,,5.0,30.16
84.0,70.0,,7.0,30.21
72.0,56.0,0.0,17.0,29.85
39.0,30.0,0.0,10.0,30.0
86.0,62.0,0.0,28.0,29.91
90.0,68.0,0.14,10.0,29.74
89.0,48.0,0.1,3.0,29.9
90.0,71.0,0.0,6.0,29.89
58.0,64.0,,14.0,29.79
70.0,37.0,0.0,11.0,29.96
41.0,73.0,0.0,8.0,29.93
89.0,52.0,0.0,9.0,29.9
94.0,72.0,0.75,5.0,29.79
87.0,48.0,0.0,11.0,29.36
53.0,83.0,0.0,14.0,30.1
36.0,47.0,,13.0,29.85
41.0,37.0,,3.0,30.19
71.0,48.0,0.0,21.0,29.55
67.0,59.0,0.0,0.0,29.74
83.0,52.0,0.0,15.0,30.3
43.0,40.0,,23.0,29.79
40.0,83.0,,7.0,29.82
93.0,67.0,0.0,10.0,29.84
32.0,71.0,,16.0,29.93
88.0,72.0,,3.0,29.97
100.0,48.0,,8.0,29.91
62.0,41.0,0.0,5.0,30.62
69.0,57.0,0.0,3.0,30.15
38.0,49.0,,25.0,29.48
100.0,45.0,,6.0,29.83
93.0,49.0,0.0,5.0,29.66
50.0,20.0,0.0,16.0,30.49
37.0,48.0,,28.0,30.11
69.0,75.0,0.0,17.0,29.87
54.0,35.0,0.0,3.0,30.23
39.0,39.0,0.0,14.0,30.51
48.0,34.0,,9.0,30.06
86.0,48.0,0.0,5.0,30.13
87.0,61.0,0.0,18.0,30.07
52.0,45.0,,17.0,29.58
34.0,48.0,0.0,10.0,29.89
70.0,65.0,0.0,14.0,30.09
74.0,55.0,0.0,20.0,29.69
31.0,43.0,0.0,17.0,30.02
83.0,55.0,0.0,8.0,29.63
74.0,75.0,,9.0,29.93
75.0,37.0,,8.0,30.32
39.0,19.0,0.0,20.0,30.49
89.0,48.0,0.0,5.0,30.26
45.0,63.0,0.0,13.0,30.0
44.0,68.0,0.0,8.0,30.16
86.0,60.0,,9.0,30.27
85.0,31.0,0.06,8.0,29.83
,,,,
81.0,67.0,,9.0,30.06
81.0,67.0,,7.0,30.04
89.0,39.0,0.03,15.0,29.91
,,,,
47.0,77.0,0.0,17.0,29.89
80.0,48.0,0.0,5.0,29.9
62.0,79.0,0.0,7.0,30.15
39.0,70.0,,17.0,29.73
62.0,54.0,,11.0,30.19
94.0,57.0,0.0,9.0,29.81
80.0,45.0,0.0,3.0,30.15
53.0,60.0,,5.0,29.83
89.0,53.0,0.0,5.0,30.08
55.0,44.0,0.0,15.0,29.69
31.0,61.0,0.0,9.0,29.85
84.0,69.0,0.0,6.0,29.89
63.0,82.0,0.0,3.0,29.96
64.0,51.0,,22.0,30.25
42.0,11.0,0.0,16.0,30.39
84.0,75.0,0.01,16.0,29.89
52.0,38.0,0.0,21.0,29.96
84.0,61.0,0.0,14.0,30.18
76.0,31.0,0.0,6.0,30.21
93.0,46.0,0.0,8.0,29.51
83.0,47.0,0.01,9.0,30.28
77.0,47.0,0.0,14.0,29.88
32.0,43.0,0.0,17.0,29.94
66.0,49.0,0.0,18.0,30.15
59.0,47.0,0.0,0.0,30.0
77.0,77.0,0.0,9.0,29.95
48.0,35.0,0.0,10.0,29.72
60.0,57.0,0.0,8.0,30.05
42.0,24.0,0.0,22.0,29.79
42.0,15.0,0.0,14.0,30.32
52.0,48.0,0.0,20.0,29.52
82.0,76.0,,9.0,29.84
63.0,47.0,0.0,13.0,30.3
65.0,41.0,0.0,11.0,29.91
35.0,36.0,0.0,17.0,30.23
87.0,37.0,,11.0,29.63
42.0,46.0,0.0,23.0,30.02
67.0,82.0,0.0,10.0,30.0
64.0,77.0,,11.0,29.73
41.0,60.0,,26.0,29.57
81.0,71.0,0.0,8.0,29.82
48.0,64.0,0.0,10.0,30.04
68.0,63.0,,9.0,29.93
87.0,54.0,0.0,8.0,30.25
94.0,59.0,,21.0,29.68
54.0,62.0,,7.0,30.38
35.0,67.0,0.0,13.0,30.11
83.0,59.0,0.0,5.0,29.81
81.0,67.0,0.0,0.0,30.15
88.0,66.0,0.04,18.0,29.58
39.0,38.0,0.0,9.0,30.02
52.0,36.0,0.0,13.0,29.83
93.0,52.0,0.0,3.0,29.91
73.0,63.0,,6.0,30.12
94.0,73.0,,8.0,29.85
78.0,64.0,0.0,8.0,29.96
62.0,41.0,0.0,16.0,29.76
53.0,71.0,,11.0,30.2
100.0,55.0,,7.0,29.89
,,,,
90.0,59.0,0.0,9.0,29.65
79.0,39.0,,14.0,30.13
87.0,46.0,,7.0,29.8
85.0,74.0,0.0,0.0,30.18
29.0,61.0,0.0,9.0,30.16
45.0,74.0,,3.0,30.34
67.0,82.0,,,29.85
79.0,12.0,0.01,24.0,29.79
42.0,48.0,0.0,20.0,30.03
88.0,68.0,0.06,23.0,29.85
84.0,61.0,0.0,0.0,30.04
,,,,
77.0,48.0,0.0,6.0,30.06
83.0,72.0,0.0,5.0,29.95
89.0,33.0,0.04,15.0,29.02
83.0,63.0,,15.0,30.09
97.0,38.0,0.0,0.0,30.36
65.0,37.0,0.0,8.0,30.05
43.0,39.0,,11.0,30.52
69.0,73.0,0.0,21.0,29.88
78.0,68.0,0.0,17.0,30.22
63.0,43.0,,17.0,30.11
80.0,49.0,0.0,25.0,29.84
75.0,66.0,0.0,7.0,29.96
59.0,37.0,0.0,14.0,29.63
94.0,75.0,0.0,10.0,29.95
76.0,38.0,0.0,7.0,29.77
96.0,32.0,,14.0,30.01
83.0,55.0,0.0,7.0,29.98
70.0,83.0,,10.0,29.79
88.0,55.0,,25.0,29.57
26.0,83.0,0.0,23.0,29.71
84.0,66.0,0.0,6.0,30.03
75.0,63.0,,15.0,29.81
64.0,91.0,0.0,13.0,29.93
81.0,56.0,0.0,15.0,30.05
34.0,26.0,0.0,23.0,30.29
38.0,60.0,0.0,9.0,29.75
100.0,51.0,0.01,25.0,29.58
62.0,73.0,0.0,13.0,30.26
50.0,49.0,0.0,14.0,30.08
66.0,51.0,0.0,18.0,29.85
64.0,59.0,0.0,7.0,30.47
36.0,79.0,0.0,17.0,29.75
93.0,70.0,0.0,5.0,29.78
84.0,75.0,,24.0,29.69
97.0,67.0,,0.0,30.1
43.0,52.0,0.0,13.0,29.82
75.0,54.0,0.0,5.0,29.81
76.0,73.0,0.0,13.0,30.0
44.0,45.0,0.0,16.0,29.94
64.0,30.0,,17.0,29.75
54.0,31.0,0.0,16.0,29.79
44.0,38.0,0.0,18.0,30.69
96.0,66.0,0.0,6.0,30.11
51.0,87.0,0.0,6.0,30.08
75.0,32.0,0.0,5.0,29.94
88.0,55.0,,11.0,29.92
78.0,64.0,0.0,7.0,29.86
70.0,68.0,0.0,7.0,30.11
79.0,41.0,0.0,9.0,29.92
47.0,63.0,0.0,9.0,30.08
74.0,75.0,,8.0,29.97
54.0,46.0,,21.0,30.17
72.0,57.0,0.0,17.0,29.84
50.0,50.0,0.0,9.0,29.95
53.0,86.0,0.0,8.0,30.08
70.0,64.0,0.0,7.0,29.88
72.0,31.0,0.0,3.0,30.28
37.0,44.0,0.0,9.0,30.22
86.0,51.0,0.0,21.0,29.21
90.0,54.0,,7.0,30.09
49.0,17.0,,9.0,30.3
93.0,54.0,,8.0,30.14
87.0,34.0,,0.0,29.8
88.0,75.0,0.0,23.0,29.79
27.0,46.0,0.0,23.0,30.06
69.0,73.0,0.0,16.0,29.99
93.0,43.0,0.0,3.0,29.96
30.0,29.0,0.0,20.0,30.05
49.0,57.0,0.0,16.0,29.9
90.0,56.0,,0.0,30.02
92.0,42.0,0.07,16.0,30.14
80.0,47.0,0.01,8.0,29.85
90.0,57.0,0.0,11.0,30.1
78.0,72.0,,10.0,30.04
72.0,55.0,0.0,0.0,29.82
43.0,43.0,0.0,18.0,29.88
21.0,58.0,0.0,11.0,30.15
89.0,43.0,0.0,7.0,29.49
66.0,73.0,,8.0,30.06
100.0,40.0,0.0,3.0,29.52
93.0,52.0,,9.0,29.6
38.0,55.0,0.0,13.0,29.86
33.0,82.0,,11.0,29.95
88.0,75.0,0.01,17.0,29.94
57.0,50.0,0.0,10.0,29.65
74.0,55.0,0.0,11.0,29.85
65.0,83.0,0.0,22.0,29.93
49.0,45.0,0.0,11.0,30.14
45.0,68.0,0.0,17.0,29.98
56.0,32.0,0.0,11.0,30.06
82.0,54.0,,23.0,29.97
79.0,42.0,0.0,7.0,30.35
93.0,61.0,0.17,11.0,29.97
75.0,29.0,,8.0,30.48
49.0,59.0,0.0,9.0,29.85
41.0,57.0,0.0,13.0,30.44
66.0,45.0,0.0,20.0,30.09
40.0,84.0,0.0,13.0,30.01
100.0,64.0,0.17,8.0,29.67
70.0,34.0,0.0,9.0,29.84
88.0,52.0,,8.0,29.92
69.0,72.0,,11.0,30.21
83.0,40.0,,8.0,30.19
70.0,36.0,,28.0,29.53
89.0,37.0,,10.0,29.89
84.0,73.0,0.0,7.0,29.93
81.0,59.0,0.0,5.0,29.82
58.0,61.0,0.0,10.0,30.42
57.0,38.0,0.0,13.0,30.47
46.0,27.0,0.0,9.0,30.1
57.0,37.0,0.0,10.0,30.12
53.0,39.0,,8.0,30.28
92.0,42.0,0.03,17.0,29.72
59.0,71.0,0.0,15.0,29.91
27.0,36.0,0.0,0.0,30.34
,,,,
80.0,43.0,0.0,9.0,30.25
71.0,51.0,0.0,7.0,30.11
84.0,72.0,,3.0,29.65
100.0,43.0,0.01,5.0,29.91
100.0,56.0,0.0,7.0,29.89
47.0,16.0,0.0,17.0,30.29
77.0,49.0,0.0,8.0,30.47
71.0,80.0,0.0,16.0,29.76
45.0,52.0,0.0,9.0,30.12
86.0,50.0,,5.0,30.15
83.0,68.0,,9.0,29.93
100.0,32.0,0.03,18.0,29.67
89.0,51.0,,3.0,30.09
43.0,41.0,,10.0,30.06
94.0,50.0,,5.0,29.9
84.0,66.0,0.0,15.0,30.12
76.0,31.0,,16.0,29.42
90.0,64.0,0.0,13.0,29.65
24.0,32.0,,17.0,30.23
31.0,47.0,0.0,21.0,29.51
72.0,55.0,,10.0,30.08
86.0,53.0,,18.0,
93.0,64.0,0.0,10.0,29.91
53.0,23.0,0.0,8.0,30.26
,,,,
88.0,74.0,0.0,0.0,29.84
87.0,41.0,0.0,17.0,29.91
66.0,47.0,0.0,8.0,30.03
92.0,26.0,0.04,17.0,29.78
36.0,48.0,,18.0,29.77
49.0,16.0,0.0,9.0,30.2
97.0,74.0,0.0,9.0,29.77
32.0,99.0,0.0,17.0,29.8
97.0,49.0,0.0,6.0,29.49
62.0,62.0,0.0,8.0,30.28
,,,,
34.0,47.0,0.0,21.0,30.19
90.0,57.0,0.0,3.0,29.9
94.0,73.0,0.03,13.0,30.02
54.0,63.0,0.0,11.0,30.36
93.0,43.0,0.07,7.0,30.07
100.0,45.0,,6.0,29.93
62.0,38.0,0.0,7.0,30.41
29.0,27.0,0.0,7.0,30.52
31.0,74.0,0.0,6.0,30.17
71.0,45.0,,18.0,29.78
35.0,82.0,0.0,13.0,29.96
94.0,72.0,0.0,11.0,30.11
100.0,50.0,0.01,16.0,30.0
96.0,53.0,0.0,24.0,29.29
65.0,85.0,0.0,16.0,30.03
51.0,30.0,0.0,13.0,30.15
80.0,28.0,0.02,7.0,29.86
34.0,28.0,0.0,7.0,30.24
87.0,73.0,0.09,22.0,29.8
55.0,75.0,0.0,16.0,29.97
43.0,78.0,0.0,13.0,30.27
97.0,67.0,,9.0,30.16
26.0,81.0,0.0,16.0,29.73
50.0,34.0,,9.0,30.62
50.0,52.0,0.0,16.0,30.25
81.0,63.0,0.0,0.0,30.01
55.0,54.0,0.0,9.0,30.01
78.0,62.0,0.0,18.0,29.91
64.0,54.0,,11.0,29.86
57.0,73.0,,10.0,30.1
57.0,71.0,0.0,15.0,30.07
68.0,46.0,0.0,8.0,30.44
53.0,26.0,0.0,7.0,30.27
93.0,49.0,,7.0,30.01
56.0,78.0,0.0,8.0,30.02
46.0,26.0,0.0,16.0,29.97
72.0,81.0,0.0,9.0,29.82
19.0,71.0,0.0,11.0,30.12
26.0,58.0,,14.0,29.72
83.0,59.0,0.0,10.0,29.66
20.0,48.0,0.0,15.0,30.04
78.0,26.0,0.0,22.0,29.91
90.0,64.0,0.0,14.0,30.12
86.0,52.0,0.0,5.0,29.81
36.0,30.0,0.0,9.0,30.16
42.0,43.0,0.0,3.0,30.45
41.0,30.0,0.0,11.0,29.96
55.0,88.0,0.0,13.0,29.94
41.0,52.0,,16.0,30.32
58.0,48.0,0.0,13.0,30.37
58.0,43.0,0.0,7.0,30.03
61.0,34.0,,3.0,29.82
82.0,79.0,0.0,13.0,29.86
50.0,34.0,0.0,21.0,29.65
78.0,61.0,0.0,7.0,29.72
76.0,65.0,,10.0,30.22
100.0,62.0,0.0,11.0,29.71
56.0,79.0,0.0,15.0,29.92
86.0,37.0,,5.0,29.56
96.0,62.0,0.01,17.0,30.01
87.0,34.0,0.01,3.0,29.93
90.0,75.0,0.0,10.0,29.95
56.0,34.0,0.0,7.0,30.03
,,,,
72.0,31.0,,7.0,29.94
88.0,75.0,0.0,7.0,29.51
93.0,53.0,,19.0,29.14
48.0,35.0,0.0,10.0,30.16
100.0,48.0,0.02,10.0,29.71
88.0,25.0,0.0,0.0,30.22
93.0,46.0,,9.0,30.08
85.0,76.0,0.0,8.0,29.99
65.0,40.0,0.0,11.0,30.28
68.0,67.0,,6.0,30.21
34.0,70.0,0.0,14.0,29.92
93.0,49.0,0.0,7.0,29.88
36.0,75.0,0.0,15.0,29.99
86.0,62.0,0.0,20.0,29.9
71.0,43.0,,7.0,30.18
35.0,36.0,,21.0,29.83
93.0,64.0,0.11,14.0,29.63
,,,,
66.0,69.0,0.0,8.0,30.07
74.0,45.0,,6.0,29.66
65.0,23.0,0.01,15.0,30.28
78.0,68.0,,3.0,30.23
89.0,39.0,0.01,15.0,29.78
93.0,78.0,0.0,20.0,30.11
50.0,66.0,0.0,7.0,30.23
57.0,68.0,0.0,14.0,30.16
40.0,82.0,0.0,6.0,29.83
,,,,
93.0,68.0,0.0,11.0,29.93
38.0,26.0,0.0,17.0,30.02
20.0,59.0,0.0,22.0,29.89
93.0,53.0,0.07,7.0,29.66
93.0,37.0,,3.0,30.32
48.0,62.0,0.0,9.0,30.15
85.0,77.0,0.0,3.0,29.85
87.0,73.0,0.0,7.0,29.85
93.0,38.0,0.02,15.0,30.1
76.0,41.0,0.0,3.0,30.2
79.0,41.0,0.0,0.0,30.08
94.0,57.0,,11.0,30.0
51.0,59.0,0.0,5.0,29.77
97.0,43.0,0.06,13.0,29.95
88.0,75.0,0.0,8.0,29.9
69.0,74.0,0.0,11.0,30.05
52.0,76.0,,9.0,29.96
64.0,31.0,0.0,21.0,29.39
88.0,30.0,0.09,26.0,29.7
59.0,54.0,0.0,10.0,29.89
52.0,76.0,0.0,7.0,30.2
84.0,68.0,0.0,5.0,30.26
79.0,42.0,0.0,14.0,29.94
83.0,57.0,0.0,10.0,29.76
,,,,
71.0,50.0,0.0,8.0,30.17
73.0,34.0,0.0,7.0,30.34
75.0,60.0,0.01,9.0,30.07
57.0,41.0,0.0,10.0,30.19
64.0,80.0,,5.0,30.04
86.0,47.0,0.0,10.0,29.69
100.0,70.0,1.07,17.0,29.76
87.0,56.0,0.0,0.0,29.92
90.0,59.0,0.0,10.0,29.63
96.0,69.0,0.0,0.0,30.1
62.0,81.0,0.0,15.0,30.14
76.0,43.0,0.0,0.0,30.56
43.0,66.0,0.0,14.0,30.06
60.0,20.0,,8.0,30.08
